"id_queijo";"nome_queijo";"categoria_queijo";"estado"
1;"queijo coalho";"Coalho";"Ceará"
2;"parmesao da mantiqueira";"Alagoa";"Minas Gerais"
3;"queijo alagoa";"Alagoa";"Minas Gerais"
4;"queijo alagoa fumace";"Alagoa";"Minas Gerais"
5;"queijo alagoa pequena";"Alagoa";"Minas Gerais"
6;"queijo alagoinha ";"Alagoa";"Minas Gerais"
7;"queijo araxa";"Minas Artesanal";"Minas Gerais"
8;"queijo artesanal fazenda jm";"Alagoa";"Minas Gerais"
9;"queijo barreiro";"Minas Artesanal";"Minas Gerais"
10;"queijo bello";"Maturado";"Minas Gerais"
11;"queijo bicas da serra";"Minas Artesanal";"Minas Gerais"
12;"queijo bom sucesso";"Minas Artesanal";"Minas Gerais"
13;"queijo cabacinha";"Cabacinha";"Minas Gerais"
14;"queijo canaa";"Minas Artesanal";"Minas Gerais"
15;"queijo canastra";"Minas Artesanal";"Minas Gerais"
16;"queijo canastra casquinha";"Minas Artesanal";"Minas Gerais"
17;"queijo canastra onesio";"Minas Artesanal";"Minas Gerais"
18;"queijo canastra raiz";"Minas Artesanal";"Minas Gerais"
19;"queijo canastra real";"Minas Artesanal";"Minas Gerais"
20;"queijo canastra reinaldo";"Minas Artesanal";"Minas Gerais"
21;"queijo canastra serjao";"Minas Artesanal";"Minas Gerais"
22;"queijo canastra solange";"Minas Artesanal";"Minas Gerais"
23;"queijo capao grande";"Minas Artesanal";"Minas Gerais"
24;"queijo capim canastra";"Minas Artesanal";"Minas Gerais"
25;"queijo capril rancho das vertentes";"Outros";"Minas Gerais"
26;"queijo carranca";"Minas Artesanal";"Minas Gerais"
27;"queijo cataua";"Mantiqueira de Minas";"Minas Gerais"
28;"queijo cirico";"Alagoa";"Minas Gerais"
29;"queijo curupira";"Minas Artesanal";"Minas Gerais"
30;"queijo da marisa";"Minas Artesanal";"Minas Gerais"
31;"queijo dama de araxa";"Minas Artesanal";"Minas Gerais"
32;"queijo do cedro";"Minas Artesanal";"Minas Gerais"
33;"queijo do cerrado";"Maturado";"Minas Gerais"
34;"queijo do coronel";"Alagoa";"Minas Gerais"
35;"queijo do dinho";"Minas Artesanal";"Minas Gerais"
36;"queijo do gilson";"Minas Artesanal";"Minas Gerais"
37;"queijo do inacio";"Alagoa";"Minas Gerais"
38;"queijo do ivair";"Minas Artesanal";"Minas Gerais"
39;"queijo do jayr";"Alagoa";"Minas Gerais"
40;"queijo do johne";"Minas Artesanal";"Minas Gerais"
41;"queijo do juquinha";"Minas Artesanal";"Minas Gerais"
42;"queijo do miguel";"Minas Artesanal";"Minas Gerais"
43;"queijo do rei";"Minas Artesanal";"Minas Gerais"
44;"queijo do reinaldo";"Minas Artesanal";"Minas Gerais"
45;"queijo do serjao";"Minas Artesanal";"Minas Gerais"
46;"queijo do serjao merendeiro";"Minas Artesanal";"Minas Gerais"
47;"queijo do tino";"Minas Artesanal";"Minas Gerais"
48;"queijo do tulio";"Minas Artesanal";"Minas Gerais"
49;"queijo dona iaia";"Minas Artesanal";"Minas Gerais"
50;"queijo faixa dourada";"Alagoa";"Minas Gerais"
51;"queijo famoso de alagoa";"Alagoa";"Minas Gerais"
52;"queijo fazenda beira da serra";"Minas Artesanal";"Minas Gerais"
53;"queijo fazenda bela vista";"Alagoa";"Minas Gerais"
54;"queijo fazenda capao grande";"Minas Artesanal";"Minas Gerais"
55;"queijo fazenda corguinho";"Alagoa";"Minas Gerais"
56;"queijo fazenda santo antonio";"Alagoa";"Minas Gerais"
57;"queijo ferreira campos";"Minas Artesanal";"Minas Gerais"
58;"queijo garrafao";"Alagoa";"Minas Gerais"
59;"queijo garrafao sitio mr";"Alagoa";"Minas Gerais"
60;"queijo gir";"Alagoa";"Minas Gerais"
61;"queijo goa";"Mantiqueira de Minas";"Minas Gerais"
62;"queijo gurita";"Minas Artesanal";"Minas Gerais"
63;"queijo guzera";"Minas Artesanal";"Minas Gerais"
64;"queijo ivituruy";"Minas Artesanal";"Minas Gerais"
65;"queijo jua";"Minas Artesanal";"Minas Gerais"
66;"queijo liberdade";"Maturado";"Minas Gerais"
67;"queijo luana";"Minas Artesanal";"Minas Gerais"
68;"queijo merendeiro";"Minas Artesanal";"Minas Gerais"
69;"queijo militao da canastra";"Minas Artesanal";"Minas Gerais"
70;"queijo minas araxa";"Minas Artesanal";"Minas Gerais"
71;"queijo minas artesanal";"Minas Artesanal";"Minas Gerais"
72;"queijo minas artesanal serro";"Minas Artesanal";"Minas Gerais"
73;"queijo minas canastra";"Minas Artesanal";"Minas Gerais"
74;"queijo minas estrada real";"Minas Artesanal";"Minas Gerais"
75;"queijo minas salitre";"Minas Artesanal";"Minas Gerais"
76;"queijo minas serro";"Minas Artesanal";"Minas Gerais"
77;"queijo moldura de minas";"Minas Artesanal";"Minas Gerais"
78;"queijo onca";"Minas Artesanal";"Minas Gerais"
79;"queijo ouro fino";"Minas Artesanal";"Minas Gerais"
80;"queijo padre victor";"Alagoa";"Minas Gerais"
81;"queijo paiol velho";"Minas Artesanal";"Minas Gerais"
82;"queijo paschoal poppa";"Alagoa";"Minas Gerais"
83;"queijo pe da pedra";"Alagoa";"Minas Gerais"
84;"queijo pingo de amor";"Minas Artesanal";"Minas Gerais"
85;"queijo pingo de mula";"Minas Artesanal";"Minas Gerais"
86;"queijo porto canastra";"Minas Artesanal";"Minas Gerais"
87;"queijo pousada fazenda corguinho";"Alagoa";"Minas Gerais"
88;"queijo quilombo";"Minas Artesanal";"Minas Gerais"
89;"queijo raclette mineiro";"Outros";"Minas Gerais"
90;"queijo rancho 4r";"Minas Artesanal";"Minas Gerais"
91;"queijo recanto dos pimentas";"Minas Artesanal";"Minas Gerais"
92;"queijo sabor da alagoa";"Alagoa";"Minas Gerais"
93;"queijo santa inacia";"Alagoa";"Minas Gerais"
94;"queijo santana";"Minas Artesanal";"Minas Gerais"
95;"queijo santuario do mergulhao";"Minas Artesanal";"Minas Gerais"
96;"queijo senzala";"Minas Artesanal";"Minas Gerais"
97;"queijo serra do condado";"Alagoa";"Minas Gerais"
98;"queijo serra dos araxas";"Minas Artesanal";"Minas Gerais"
99;"queijo serro";"Minas Artesanal";"Minas Gerais"
100;"queijo sitio pe da pedra";"Alagoa";"Minas Gerais"
101;"queijo sitio talisma";"Minas Artesanal";"Minas Gerais"
102;"queijo taroco";"Minas Artesanal";"Minas Gerais"
103;"queijo terrua das vertentes";"Minas Artesanal";"Minas Gerais"
104;"queijo tradicao da canastra";"Minas Artesanal";"Minas Gerais"
105;"queijo tres ranchos";"Minas Artesanal";"Minas Gerais"
106;"queijo trilha da pedra";"Minas Artesanal";"Minas Gerais"
107;"queijo turvo grande";"Minas Artesanal";"Minas Gerais"
108;"queijo vo cotinha";"Minas Artesanal";"Minas Gerais"
109;"quejo tradicao da canastra";"Minas Artesanal";"Minas Gerais"
110;"requeijao moreno";"Requeijão";"Minas Gerais"
111;"queijo manteiga";"Manteiga";"Nordeste"
112;"queijo 0 lactose";"Outros";"Outros"
113;"queijo artesanal";"Outros";"Outros"
114;"queijo bufala";"Outros";"Outros"
115;"queijo cabra";"Maturado";"Outros"
116;"queijo contestado";"Contestado";"Outros"
117;"queijo curado";"Outros";"Outros"
118;"queijo fungo";"Outros";"Outros"
119;"queijo gourmet";"Outros";"Outros"
120;"queijo maturado";"Maturado";"Outros"
121;"queijo meia cura";"Outros";"Outros"
122;"queijo minas cabra";"Outros";"Outros"
123;"queijo minas campos das vertentes";"Minas Artesanal";"Outros"
124;"queijo mini terrua das vertentes";"Minas Artesanal";"Outros"
125;"queijo mofo";"Outros";"Outros"
126;"queijo mofo branco";"Outros";"Outros"
127;"queijo ovelha";"Outros";"Outros"
128;"queijo parmesao artesanal";"Outros";"Outros"
129;"queijo roca";"Outros";"Outros"
130;"queijo sem lactose";"Outros";"Outros"
131;"queijo tradicional";"Outros";"Outros"
132;"queijo zero lactose";"Outros";"Outros"
133;"queijos artesanais";"Outros";"Outros"
